"groupno","agegrp","age_low_y","age_up_y","label","agemid","d_y","n","b0","b1","b2","deaths_d","pa","ar","hmean"
1,"[0,0.0833)",0,0.0833333333333333,"month_0",0.0416666666666667,0.0833333333333333,64572.5,2132.33307233653,0.08096783934681,213.750557692552,9.40156548721961,0.0460093704305468,0.05,0.636546391977128
2,"[0.0833,0.167)",0.0833333333333333,0.166666666666667,"month_1",0.125,0.0833333333333333,64572.5,0,0,0,0,0.0510240239956245,0.05,0.639910080536775
3,"[0.167,0.25)",0.166666666666667,0.25,"month_2",0.208333333333333,0.0833333333333333,64572.5,0,0,0,0,0.0560386775607023,0.05,0.838824391386419
4,"[0.25,0.333)",0.25,0.333333333333333,"month_3",0.291666666666667,0.0833333333333333,64572.5,0,0,0,0,0.06105333112578,0.05,0.541807439701306
5,"[0.333,0.417)",0.333333333333333,0.416666666666667,"month_4",0.375,0.0833333333333333,64572.5,0,0,0,0,0.0660679846908577,0.05,0.465812714738957
6,"[0.417,0.5)",0.416666666666667,0.5,"month_5",0.458333333333333,0.0833333333333333,64572.5,0,0,0,0,0.0710826382559355,0.05,0.389814444413091
7,"[0.5,0.583)",0.5,0.583333333333333,"month_6",0.541666666666667,0.0833333333333333,64572.5,0,0,0,0,0.076097273411592,0.05,0.313206075983902
8,"[0.583,0.667)",0.583333333333333,0.666666666666667,"month_7",0.625,0.0833333333333333,64572.5,0,0,0,0,0.081111448331718,0.05,0.255587086881041
9,"[0.667,0.75)",0.666666666666667,0.75,"month_8",0.708333333333333,0.0833333333333333,64572.5,0,0,0,0,0.086124297773516,0.05,0.199218413284816
10,"[0.75,0.833)",0.75,0.833333333333333,"month_9",0.791666666666667,0.0833333333333333,64572.5,0,0,0,0,0.0911349380847676,0.05,0.163830182175431
11,"[0.833,0.917)",0.833333333333333,0.916666666666667,"month_10",0.875,0.0833333333333333,64572.5,0,0,0,0,0.0961424856132539,0.05,0.134995400735616
12,"[0.917,1)",0.916666666666667,1,"month_11",0.958333333333333,0.0833333333333333,64572.5,0,0,0,0,0.101146056706757,0.05,0.136080651401263
13,"[1,2)",1,2,"year_1",1.5,1,794132,0,0,0,-52.7726027397262,0.133511315980446,0.604818299784201,0.00657897675119104
14,"[2,3)",2,3,"year_2",2.5,1,802415,0,0,0,-22.6931506849314,0.191905715888649,0.541483697318887,0.00417703476559003
15,"[3,4)",3,4,"year_3",3.5,1,807816,0,0,0,-14.7972602739724,0.247246213729314,0.499766261161491,0.000525549519859534
16,"[4,5)",4,5,"year_4",4.5,1,782143,0,0,0,70.33698630137,0.298005858468673,0.468607097117167,0.000392204821289792
17,"[5,10)",5,10,"year_5",7.5,5,3726970,0,0,0,100.682191780822,0.414619847493006,0.405272494651853,0.000106171336011359
18,"[10,15)",10,15,"year_10",12.5,5,3702913,0,0,0,13.1819178082192,0.5146224546507,0.341937892186538,7.16072900927618e-05
19,"[15,25)",15,25,"year_15",20,10,8547674,0,0,0,-312.835068493151,0.568835708483046,0.283664595721735,5.44084466607083e-05
20,"[25,35)",25,35,"year_25",30,10,10570191,0,0,0,-554.114246575342,0.663781416729723,0.233393093587085,3.64431340160223e-05
21,"[35,45)",35,45,"year_35",40,10,10198236,0,0,0,101.905479452055,0.757207089629011,0.197724895189352,9.71822482023972e-05
22,"[45,55)",45,55,"year_45",50,10,11983593,0,0,0,-489.138904109589,0.780313098124297,0.170058491121771,0.000216585362424471
23,"[55,65)",55,65,"year_55",60,10,12385076,0,0,0,-109.995342465753,0.704827125848351,0.147453393054701,0.000441950018204969
24,"[65,75)",65,75,"year_65",70,10,8533127,0,0,0,1055.32849315068,0.558711402332458,0.128341054964375,0.000709247951509383
25,"[75,99)",75,99,"year_75",87,24,9557555,0,0,0,1246.79792237443,0.238422146775144,0.101385167338542,0.00109425487076595
