"agegrp","agemid","N","noconv","prop_noconv","label","groupno"
"[30.2,60.5)",53,17,17,1,"month 0",1
"[60.5,90.8)",78,24,24,1,"month 1",2
"[90.8,121)",107,35,32,0.914285714285714,"month 2",3
"[121,151)",136,35,33,0.942857142857143,"month 3",4
"[151,182)",161,32,30,0.9375,"month 4",5
"[182,212)",196,32,23,0.71875,"month 5",6
"[212,242)",224,34,29,0.852941176470588,"month 6",7
"[242,272)",256,44,31,0.704545454545455,"month 7",8
"[272,302)",285,33,28,0.848484848484849,"month 8",9
"[302,333)",320,38,23,0.605263157894737,"month 9",10
"[333,363]",351,43,22,0.511627906976744,"month 10",11
