agegrp,sim_low95,sim_median,sim_up95
1,0.11169305572455895,0.11245140690840792,0.11320494627512193
2,0.11244046711274559,0.11385937404490407,0.11507087777861613
3,0.10971993568049639,0.11162289355121904,0.11340581329741027
4,0.10662174036741352,0.1083857267027313,0.1102240509019488
5,0.10406988852645398,0.10547088907243254,0.10702768900263307
6,0.10223192368710611,0.10330374582477242,0.10451877702201075
7,0.10097481743610189,0.1018872467276806,0.10283179058686237
8,0.10018044113696702,0.10108973866690796,0.10190428820177219
9,0.09976370483102065,0.10070594202892161,0.10152320492157757
10,0.09953215828261112,0.10052562135918147,0.10140350063265033
11,0.09932131719061946,0.10038243195339355,0.1013198863691731
12,0.0990186208285085,0.10012973600933023,0.10113539136205553
13,0.015783623059368465,0.016999214208364657,0.0181632008617155
14,0.0037169095278486277,0.004090624569587307,0.004478074194688846
15,0.0006370893829038067,0.0006862945470060768,0.0007381052751808949
16,0.00015941787311735462,0.00018105873590707394,0.0002068025253067602
17,1.674267018398338e-5,1.9610556338597712e-5,2.307935126277078e-5
18,1.2727872646311135e-6,1.5343417527124186e-6,1.8610587551847968e-6
19,3.907884359670011e-8,4.946602684478052e-8,6.329760779872711e-8
20,1.1431451243352798e-9,1.519586970352759e-9,2.0532207899088688e-9
21,7.055288973050602e-11,8.434084987698951e-11,1.0696139072438556e-10
22,3.128861369776107e-11,4.258069224430727e-11,5.727353570325702e-11
23,3.048388239445643e-11,4.173370699339527e-11,5.6627721279689674e-11
24,3.330095958959822e-11,4.5983754188740335e-11,6.286569428851404e-11
25,1.920533371108466e-11,2.5988846585750126e-11,3.488422257743556e-11
