parameters,2.5%,25.0%,50.0%,75.0%,97.5%
ρ₁,0.5455865404797516,0.578976384111774,0.5961811062462825,0.6137988394591285,0.6482593412354047
ρ₂,0.9219041450437134,0.9770392118551093,1.0051925126404684,1.0329797865917847,1.0837114807962367
a₁,0.07504616737004427,0.08338639307939888,0.08801083106023294,0.09238870425789471,0.1001289168342462
a₂,1.8522538327076696,1.8824044559835145,1.9002916530828398,1.9196590888405713,1.9599125208479597
a₃,3.341473182539589,3.4533076257270854,3.513478046966712,3.5753943584347354,3.6960809243902033
β,0.2803753945099245,0.29876166715265084,0.3071370032993722,0.31601579451557305,0.33091491730026895
η,0.2252923868465525,0.24212508146285847,0.2514133005983581,0.26054274790571974,0.2787101623401785
δ₃,0.9602126970779558,0.9847075374498098,0.9922759600308944,0.9968192534129472,0.9997688122731722
δ₄,0.24214032153823548,0.2546731629327234,0.2622411999200212,0.27018486613998705,0.2876546498050735
ω,239.81741288526777,265.90504316497993,279.977440536216,294.2993931913771,321.77761247360064
ξ,48.84685666889143,55.69946543844777,59.50121411353268,63.522375975786275,71.95590441466146
